"The translation has been deleted.","The translation has been deleted."
"The translation no longer exists.","The translation no longer exists."
"We can't find a translation to delete.","We can't find a translation to delete."
"Translations","Translations"
"DB Translations","DB Translations"
"Database Translations","Database Translations"
"New Translation","New Translation"
"Edit Translation","Edit Translation"
"These translations should not be used if not absolutely necessary! Create translations within module, language pack or theme instead.","These translations should not be used if not absolutely necessary! Create translations within module, language pack or theme instead."
"Please correct the data sent.","Please correct the data sent."
"You saved the Translation","You saved the Translation"
"There was a problem saving the translation","There was a problem saving the translation"